#T r95_d30000_t3_64_128_256_512_1024_1280_1518
size: 64B, rate: 95%, link: 25000 Mbps, mpps: 35342262, dur: 30 sec, total: 1060267860, LossLimit: 10603 (0.001%)
TS(sec),TX(pps),RX(pps),totalTX(p),totalRX(p),Trial
1690381434,6487664,6606219,6487664,6606219,0
1690381435,11299771,11266981,17787435,17873200,0
1690381436,11299773,11225703,29087208,29098903,0
1690381437,11300301,11433987,40387509,40532890,0
1690381438,10973579,10936937,51361088,51469827,0
1690381439,10879616,10878128,62240704,62347955,0
1690381440,10879552,10877616,73120256,73225571,0
1690381441,10878592,10877638,83998848,84103209,0
1690381442,10880000,10884360,94878848,94987569,0
1690381443,10879895,10870927,105758743,105858496,0
1690381444,10877784,10886757,116636527,116745253,0
1690381445,10879185,10878993,127515712,127624246,0
1690381446,10879768,10782071,138395480,138406317,0
1690381447,10878376,10878420,149273856,149284737,0
1690381448,10801472,10869361,160075328,160154098,0
1690381449,10801856,10770817,170877184,170924915,0
1690381450,10802368,10770386,181679552,181695301,0
1690381451,10895404,10987885,192574956,192683186,0
1690381452,10879444,10782052,203454400,203465238,0
1690381453,10877610,10878120,214332010,214343358,0
1690381454,10801426,10869081,225133436,225212439,0
1690381455,10801860,10769515,235935296,235981954,0
1690381456,10802432,10769328,246737728,246751282,0
1690381457,10892992,10987652,257630720,257738934,0
1690381458,10879673,10782717,268510393,268521651,0
1690381459,10879111,10879202,279389504,279400853,0
1690381460,10801408,10866836,290190912,290267689,0
1690381461,10801856,10770249,300992768,301037938,0
1690381462,10801920,10770552,311794688,311808490,0
1690381463,10893312,10881740,322688000,322690230,0
1690381464,2230,0,322690230,322690230,0
1690381465,0,0,322690230,322690230,0
1690381466,0,0,322690230,322690230,0
1690381467,0,0,322690230,322690230,0
1690381468,0,0,322690230,322690230,0
1690381469,0,0,0,0,1
1690381470,5585680,5597011,5585680,5597011,1
1690381471,11299267,11369828,16884947,16966839,1
1690381472,11299838,11230211,28184785,28197050,1
1690381473,11299711,11416253,39484496,39613303,1
1690381474,10904816,10786914,50389312,50400217,1
1690381475,10801439,10850567,61190751,61250784,1
1690381476,10801889,10770488,71992640,72021272,1
1690381477,10907712,10987785,82900352,83009057,1
1690381478,10878720,10871872,93779072,93880929,1
1690381479,10878912,10885763,104657984,104766692,1
1690381480,10878848,10780977,115536832,115547669,1
1690381481,10879375,10879405,126416207,126427074,1
1690381482,10801393,10868403,137217600,137295477,1
1690381483,10801920,10770654,148019520,148066131,1
1690381484,10801856,10770541,158821376,158836672,1
1690381485,10894464,10987868,169715840,169824540,1
1690381486,10879552,10871791,180595392,180696331,1
1690381487,10878336,10886129,191473728,191582460,1
1690381488,10879298,10781416,202353026,202363876,1
1690381489,10878526,10878520,213231552,213242396,1
1690381490,10801408,10868999,224032960,224111395,1
1690381491,10801856,10770074,234834816,234881469,1
1690381492,10801920,10770543,245636736,245652012,1
1690381493,10895232,10988677,256531968,256640689,1
1690381494,10876928,10870924,267408896,267511613,1
1690381495,10878912,10884915,278287808,278396528,1
1690381496,10879488,10870327,289167296,289266855,1
1690381497,10878464,10887611,300045760,300154466,1
1690381498,10879936,10878520,310925696,311032986,1
1690381499,10880512,10877605,321806208,321910591,1
1690381500,884022,779639,322690230,322690230,1
1690381501,0,0,322690230,322690230,1
1690381502,0,0,322690230,322690230,1
1690381503,0,0,322690230,322690230,1
1690381504,0,0,322690230,322690230,1
1690381505,0,0,0,0,2
1690381506,4486855,4559746,4486855,4559746,2
1690381507,11299775,11267040,15786630,15826786,2
1690381508,11299781,11380332,27086411,27207118,2
1690381509,11300274,11191371,38386685,38398489,2
1690381510,10951683,10993056,49338368,49391545,2
1690381511,10801856,10879933,60140224,60271478,2
1690381512,10900421,10877897,71040645,71149375,2
1690381513,10877947,10871227,81918592,82020602,2
1690381514,10879556,10886301,92798148,92906903,2
1690381515,10879420,10781512,103677568,103688415,2
1690381516,10879488,10879479,114557056,114567894,2
1690381517,10801408,10869345,125358464,125437239,2
1690381518,10801856,10769069,136160320,136206308,2
1690381519,10801881,10771191,146962201,146977499,2
1690381520,10895463,10988901,157857664,157966400,2
1690381521,10878080,10869532,168735744,168835932,2
1690381522,10878983,10887537,179614727,179723469,2
1690381523,10879417,10781585,190494144,190505054,2
1690381524,10879362,10879388,201373506,201384442,2
1690381525,10801470,10868387,212174976,212252829,2
1690381526,10801856,10735364,222976832,222988193,2
1690381527,10801895,10920796,233778727,233908989,2
1690381528,10802329,10683438,244581056,244592427,2
1690381529,10801408,10858270,255382464,255450697,2
1690381530,10801920,10771117,266184384,266221814,2
1690381531,10801856,10879690,276986240,277101504,2
1690381532,10801920,10697990,287788160,287799494,2
1690381533,10802368,10842075,298590528,298641569,2
1690381534,10801408,10879776,309391936,309521345,2
1690381535,10898368,10878198,320290304,320399543,2
1690381536,2399926,2290687,322690230,322690230,2
1690381537,0,0,322690230,322690230,2
1690381538,0,0,322690230,322690230,2
1690381539,0,0,322690230,322690230,2
1690381540,0,0,322690230,322690230,2
1690381541,0,0,322690230,322690230,0
1690381542,0,0,322690230,322690230,0
1690381543,0,0,322690230,322690230,0
1690381544,0,0,322690230,322690230,0
1690381545,0,0,322690230,322690230,0
1690381547,0,0,322690230,322690230,0
1690381548,0,0,322690230,322690230,0
1690381549,0,0,322690230,322690230,0
1690381550,0,0,322690230,322690230,0
1690381551,0,0,322690230,322690230,0
1690381552,0,0,322690230,322690230,0
1690381553,0,0,322690230,322690230,0
1690381554,0,0,322690230,322690230,0
1690381555,0,0,322690230,322690230,0
1690381556,0,0,322690230,322690230,0
1690381557,0,0,322690230,322690230,0
1690381558,0,0,322690230,322690230,0
1690381559,0,0,322690230,322690230,0
1690381560,0,0,322690230,322690230,0
1690381561,0,0,322690230,322690230,0
1690381562,0,0,322690230,322690230,0
1690381563,0,0,322690230,322690230,0
1690381564,0,0,322690230,322690230,0
1690381565,0,0,322690230,322690230,0
1690381566,0,0,322690230,322690230,0
1690381567,0,0,322690230,322690230,0
1690381568,0,0,322690230,322690230,0
1690381569,0,0,322690230,322690230,0
1690381570,0,0,322690230,322690230,0
size: 512B, rate: 95%, link: 25000 Mbps, mpps: 5580357, dur: 30 sec, total: 167410710, LossLimit: 1674 (0.001%)
TS(sec),TX(pps),RX(pps),totalTX(p),totalRX(p),Trial
1690381571,0,0,0,0,0
1690381572,826724,888392,826724,888392,0
1690381573,5862062,5806497,6688786,6694889,0
1690381574,5862265,5884577,12551051,12579466,0
1690381575,5862286,5904733,18413337,18484199,0
1690381576,5669031,5604018,24082368,24088217,0
1690381577,5585600,5613546,29667968,29701763,0
1690381578,5585127,5569580,35253095,35271343,0
1690381579,5585369,5626035,40838464,40897378,0
1690381580,5585344,5568727,46423808,46466105,0
1690381581,5585408,5548874,52009216,52014979,0
1690381582,5585600,5646720,57594816,57661699,0
